0025000300000080023       LADE - MUNKEGATA - KROPPANMARKA - SJETNMARKA                                      
0025000400000080024       LADE - MUNKEGATA - KOLSTAD / HEIMDAL                                              
0025000500000080025       DRAGVOLL - DRONNINGENS GATE - BUENGET                                             
0025000600000080026       VíRESTRùA - MUNKEGATA - ROMOLSLIA                                                 
0025000700000080027       VIKèSEN / REPPE - MUNKEGATA - FLATèSEN                                            
0025000800000080028       SteinÜsen - Risvollan - Sentrum - Sverresborg - Stavset                           
0025000900000080029       DRAGVOLL - MUNKEGATA - KATTEM / LUNDèSEN                                          
00250010000000800210      DRONNINGENS GATE - SKISTUA                                                        
00250011000000800211      Trondheim S - Trollahaugen                                                        
00250015000000800215      Migosenteret - ByÜsveien - Ilsvika - Brattõra - Lade                              
00250016000000800216      Sandmoen - Omkjõringsveien - Ranheim - Vikelvveien                                
00250018000000800218      Jonsvatnet/VikÜsen - Angelltrõa - Sentrum - Trõndelag Folkemuseum - Havstad       
00250019000000800219      Brattõra - Sentrum - St.Olav - ByÜsen - City Syd/Sandmoen                         
00250022000000800222      Vestlia/Othilienborg - Munkegata - Tyholt                                         
00250024000000800224      Jonsvatnet Korrespondanse med L18 pÜ Solbakken skole                              
00250036000000800236      Sentrum - Stokkhaugen o/ Brundalen                                                
00250037000000800237      Munkegata - Vikelvveien - VikhammerÜsen                                           
00250043000000800243      Okstad - Sjetnmarka - City Syd - Heimdal - RingvÜl                                
00250044000000800244      Munkegata - Vestre Rosten - Sandbakken                                            
00250046000000800246      Pirbadet - Munkegata - Tiller                                                     
00250047000000800247      Munkegata - Tiller - Sandmoen - Klëbu                                             
00250054000000800254      TRONDHEIM SENTRALSTASJON - MUNKEGATA - BRATSBERG                                  
00250055000000800255      MUNKEGATA - RATE                                                                  
00250060000000800260      Trondheim S - Valentinlyst/Bromstad via Lerkendal                                 
00250063000000800263      SINGSAKER - DRONNINGENS GATE - ILSVIKA                                            
00250066000000800266      Munkegata - Brundalen/Jakobsli                                                    
002500670000008002                                                                                          
00250071000000800271      Heimdal - Nypan - Spongdal                                                        
00250073000000800273      Heimdal - RingvÜl - Spongdal Via Mebygda/Langlo                                   
00250075000000800275      Trondheim S - Rye - Spongdal via Hõstad / Berg                                    
00250076000000800276      Trondheim - Rye - Spongdal via Haugrõnning / Langlo                               
00250080000000800280      VíRESTRùA - JAKOBSLI - SANDMOEN - INDUSTRIVEIEN                                   
00250082000000800282      Dr.gt - ByÜsen - FlatÜsen - Kostad - Heimdal - Tiller                             
002500880000008002                                                                                          
002500890000008002                                                                                          
00250090000000800290      Rushtidsrute Heimdal - Omkjõringsvegen - Lade                                     
002500910000008002                                                                                          
002500920000008002                                                                                          
002500930000008002                                                                                          
00250094000000800294      Valentinlyst - Jakobsli - Steinan - Risvollan - Sluppen - Dr.gt - Lade            
002500950000008002                                                                                          
00250096000000800296      Brundalen - Dragvoll - Blakli - Tverregga - Fossegrenda - Tiller - Sandmoen       
002500970000008002                                                                                          
002500980000008002                                                                                          
002501030000008002103     Nattbuss Kroppanmarka / Sjetnemarka                                               
002501040000008002                                                                                          
002501050000008002                                                                                          
002501060000008002                                                                                          
002501070000008002                                                                                          
002501080000008002                                                                                          
002501090000008002                                                                                          
002501190000008002                                                                                          
002501360000008002                                                                                          
002501460000008002                                                                                          
002501540000008002                                                                                          
002501550000008002                                                                                          
002501750000008002                                                                                          
002501880000008002                                                                                          
002502540000008002254     TS - EKLESBAKKEN - KLíBU SENTRUM - BJùRKLI - LER                                  
002502550000008002255     SKOLERUTE KLíBU                                                                   
002503010000008002301     Stjõrdal - Hommelvik - Trondheim - Melhus                                         
002503910000008002391     BrekkÜsen - Melhus - Tiller - Lade                                                
002505010000008002501     Melhus skysstasjon - Hesttrõa                                                     
002507770000008002777     REPPE - REPPEVEIEN                                                                
002513010000008002N301    Nattbuss Stjõrdal - Trondheim - Melhus                                            
