002200010000009103       1                                                            St. Olavs gate - Lian 
002200030000009103       3                                                             Lade- M2- Sjetnmarka 
002200040000009103       4                                                                Lade- M2- Heimdal 
002200050000009103       5                                                            Dragvoll- K1- Buenget 
002200060000009103       6                                                          V‘restr›a- M2- Flat†sen 
002200070000009103       7                                                     Reppe/Vik†sen- M2- Romolslia 
002200080000009103       8                                                           Risvollan- K1- Stavset 
002200090000009103       9                                                    Dragvoll- M2- Kattem/Lund†sen 
002200100000009103      10                                                                      K1- Skistua 
002200110000009103      11                                                           Sandbakken- K1- Trolla 
002200180000009103      18                                                             Vik†sen- M1- Havstad 
002200190000009103      19                                                   Pirbadet- P1- By†sen- Sandmoen 
002200220000009103      22                                                              Vestlia- M5- Tyholt 
002200360000009103      36                                                       M4- Brundalen- Stokkhaugen 
002200370000009103      37                                                                M5- Vikhammer†sen 
002200380000009103      38                                                  Stj›rdal- Hommelvik- D1- Melhus 
002200430000009103      43                                                         Okstad- Heimdal- Ringv†l 
002200460000009103      46                                                           Pirbadet- P1- Sandmoen 
002200470000009103      47                                                        City Syd- Sandmoen- Kl‘bu 
002200480000009103                                                                                          
002200540000009103      54                                                       Trondheim S- P1- Bratsberg 
002200550000009103      55                                                            Trondheim S- P1- Rate 
002200600000009103      60                                                  Trd S- Valentinlyst- Strindheim 
002200630000009103      63                                                          Strindheim- K1- Ilsvika 
002200660000009103      66                                                          M1- Moholt- Stokkhaugen 
002200710000009103      71                                                                Heimdal- Spongdal 
002200750000009103      75                                                  Trd S- Klefstadhaugen- Spongdal 
002200760000009103      76                                            Spongdal- Hange†sen/Klefstadbukta- M4 
002200910000009103      91                                                           Lund†sen- K2- Sandmoen 
002200920000009103      92                                                     Flat†sen- Heimdal/Tiller- D2 
002200930000009103      93                                                    Vik†sen/Ranh.- Lade- Sandmoen 
002200940000009103      94                                                      Valentinlyst- Sluppen- Lade 
