service_id,date,exception_type
ATB:Timetable:1600021-2019-04-22,20190422,2
ATB:Timetable:1600021-2019-04-22,20190517,2
ATB:Timetable:1600021-2019-04-22,20190530,2
ATB:Timetable:1600021-2019-04-22,20190610,2
ATB:Timetable:1600064-2019-04-22,20190517,2
ATB:Timetable:1600064-2019-04-22,20190529,1
ATB:Timetable:1600064-2019-04-22,20190530,2
ATB:Timetable:1600001-2019-04-22,20190422,2
ATB:Timetable:1600001-2019-04-22,20190501,2
ATB:Timetable:1600001-2019-04-22,20190517,2
ATB:Timetable:1600001-2019-04-22,20190530,2
ATB:Timetable:1600001-2019-04-22,20190610,2
ATB:Timetable:1600041-2019-04-22,20190501,2
ATB:Timetable:1600041-2019-04-22,20190529,2
ATB:Timetable:1600034-2019-04-22,20190501,2
ATB:Timetable:1600034-2019-04-22,20190517,2
ATB:Timetable:1600031-2019-04-22,20190608,1
ATB:Timetable:1600031-2019-04-22,20190615,1
ATB:Timetable:1600031-2019-04-22,20190622,1
ATB:Timetable:1600005-2019-06-24,20190624,1
ATB:Timetable:1600005-2019-06-24,20190625,1
ATB:Timetable:1600005-2019-06-24,20190626,1
ATB:Timetable:1600005-2019-06-24,20190627,1
ATB:Timetable:1600005-2019-06-24,20190628,1
ATB:Timetable:1600044-2019-04-22,20190422,2
ATB:Timetable:1600044-2019-04-22,20190501,2
ATB:Timetable:1600044-2019-04-22,20190516,2
ATB:Timetable:1600044-2019-04-22,20190529,2
ATB:Timetable:1600044-2019-04-22,20190530,2
ATB:Timetable:1600044-2019-04-22,20190610,2
ATB:Timetable:1600011-2019-04-22,20190517,2
ATB:Timetable:1600002-2019-06-24,20190629,1
ATB:Timetable:1600002-2019-06-24,20190706,1
ATB:Timetable:1600002-2019-06-24,20190713,1
ATB:Timetable:1600002-2019-06-24,20190720,1
ATB:Timetable:1600002-2019-06-24,20190727,1
ATB:Timetable:1600029-2019-04-22,20190422,2
ATB:Timetable:1600029-2019-04-22,20190501,2
ATB:Timetable:1600029-2019-04-22,20190517,2
ATB:Timetable:1600029-2019-04-22,20190530,2
ATB:Timetable:1600029-2019-04-22,20190531,2
