from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748022_24_190619065679393,ATB:ServiceJourney:42_190619065754199_13_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747051_146_190619065679393,ATB:ServiceJourney:74_190619065755292_24_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747051_146_190619065679393,ATB:ServiceJourney:73_190619065755252_28_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748038_56_190619065679393,ATB:ServiceJourney:42_190619065754207_29_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747037_118_190619065679393,ATB:ServiceJourney:74_190619065755289_18_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747037_118_190619065679393,ATB:ServiceJourney:73_190619065755249_22_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747003_50_190619065679393,ATB:ServiceJourney:74_190619065755284_8_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748238_7054_190619065679393,ATB:ServiceJourney:42_190619065754335_7053_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748239_7056_190619065679393,ATB:ServiceJourney:42_190619065754336_7055_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748242_7062_190619065679393,ATB:ServiceJourney:42_190619065754339_7061_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748243_7064_190619065679393,ATB:ServiceJourney:42_190619065754340_7063_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748252_7082_190619065679393,ATB:ServiceJourney:42_190619065754349_7081_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748255_7088_190619065679393,ATB:ServiceJourney:42_190619065754352_7087_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748256_7090_190619065679393,ATB:ServiceJourney:42_190619065754353_7089_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748124_6010_190619065679393,ATB:ServiceJourney:42_190619065754258_6009_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748218_7014_190619065679393,ATB:ServiceJourney:42_190619065754315_7013_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748217_7012_190619065679393,ATB:ServiceJourney:42_190619065754314_7011_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748229_7036_190619065679393,ATB:ServiceJourney:42_190619065754326_7035_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748227_7032_190619065679393,ATB:ServiceJourney:42_190619065754324_7031_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747166_6120_190619065679393,ATB:ServiceJourney:74_190619065755311_6020_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748121_6004_190619065679393,ATB:ServiceJourney:42_190619065754255_6003_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748215_7008_190619065679393,ATB:ServiceJourney:42_190619065754312_7007_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746991_26_190619065679393,ATB:ServiceJourney:74_190619065755282_4_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748240_7058_190619065679393,ATB:ServiceJourney:42_190619065754337_7057_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748237_7052_190619065679393,ATB:ServiceJourney:42_190619065754334_7051_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746999_42_190619065679393,ATB:ServiceJourney:73_190619065755243_10_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747026_96_190619065679393,ATB:ServiceJourney:74_190619065755287_14_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747017_78_190619065679393,ATB:ServiceJourney:74_190619065755286_12_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747019_82_190619065679393,ATB:ServiceJourney:73_190619065755246_16_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747091_226_190619065679393,ATB:ServiceJourney:74_190619065755298_36_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747085_214_190619065679393,ATB:ServiceJourney:74_190619065755297_34_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747063_170_190619065679393,ATB:ServiceJourney:73_190619065755254_32_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747063_170_190619065679393,ATB:ServiceJourney:74_190619065755294_28_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747040_124_190619065679393,ATB:ServiceJourney:74_190619065755290_20_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748070_120_190619065679393,ATB:ServiceJourney:42_190619065754223_61_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747040_124_190619065679393,ATB:ServiceJourney:73_190619065755250_24_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748036_52_190619065679393,ATB:ServiceJourney:42_190619065754206_27_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748090_160_190619065679393,ATB:ServiceJourney:42_190619065754233_81_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748046_72_190619065679393,ATB:ServiceJourney:42_190619065754211_37_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748102_184_190619065679393,ATB:ServiceJourney:42_190619065754239_93_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748030_40_190619065679393,ATB:ServiceJourney:42_190619065754203_21_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748104_188_190619065679393,ATB:ServiceJourney:42_190619065754240_95_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748100_180_190619065679393,ATB:ServiceJourney:42_190619065754238_91_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748072_124_190619065679393,ATB:ServiceJourney:42_190619065754224_63_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748048_76_190619065679393,ATB:ServiceJourney:42_190619065754212_39_190619065679393,3,
