0022000200000070002       Matebuss                                                                          
0022000300000080053       LADE - MUNKEGATA - KROPPANMARKA - SJETNMARKA                                      
0022000400000080054       LADE - MUNKEGATA - KOLSTAD / HEIMDAL                                              
0022000500000080055       DRAGVOLL - DRONNINGENS GATE - BUENGET                                             
0022000600000080056       VíRESTRùA - MUNKEGATA - ROMOLSLIA                                                 
0022000700000080057       VIKèSEN / REPPE - MUNKEGATA - FLATèSEN                                            
0022000800000080058       STEINèSEN / BLAKLI - DRONNINGENS GATE - STAVSET                                   
0022000900000080059       DRAGVOLL - MUNKEGATA - KATTEM / LUNDèSEN                                          
00220010000000800510      DRONNINGENS GATE - SKISTUA                                                        
00220011000000800511      VIKèSEN / JONSVATNET - DRONNINGENS GATE - TROLLAHAUGEN                            
00220019000000800519      Brattõra - Sentrum - St. Olav - ByÜsen - City Syd/Sandmoen                        
00220020000000800520      DRONNINGENS GATE - VALENTINLYST                                                   
00220036000000800536      MUNKEGATA - BRUNDALEN / JAKOBSLI                                                  
002200370000008005                                                                                          
002200400000008005                                                                                          
002200430000008005                                                                                          
002200440000008005                                                                                          
00220046000000800546      PIRBADET - MUNKEGATA - TILLER                                                     
002200470000008005                                                                                          
00220052000000800552      MUNKEGATA - VESTLIA (Othilienborg)                                                
00220054000000800554      TRONDHEIM SENTRALSTASJON - MUNKEGATA - BRATSBERG                                  
00220055000000800555      MUNKEGATA - RATE                                                                  
00220060000000800560      MUNKEGATA - VALENTINLYST                                                          
00220063000000800563      SINGSAKER - DRONNINGENS GATE - ILSVIKA                                            
00220066000000800566      MUNKEGATA -  JAKOBSLI                                                             
00220071000000800571      HAIMDAL STASJON - SPONGDAL                                                        
00220075000000800575      MUNKEGATA - SPONGDAL via Trolla / Rye                                             
002200760000008005                                                                                          
002200880000008005                                                                                          
002200890000008005                                                                                          
002203010000008005                                                                                          
002205010000008005                                                                                          
