service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:Timetable:1600047-2019-08-10,0,0,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600014-2019-08-10,1,1,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600057-2019-08-10,0,0,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600034-2019-08-10,1,1,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600024-2019-08-10,0,0,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600037-2019-08-10,0,1,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600074-2019-08-10,1,1,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600083-2019-08-10,0,0,0,1,0,0,0,20190810,20190927
ATB:Timetable:1600027-2019-08-10,1,0,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600093-2019-08-10,0,1,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600017-2019-08-10,0,1,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600007-2019-08-10,0,0,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600084-2019-08-10,1,1,0,1,1,0,0,20190810,20191001
ATB:Timetable:1600026-2019-08-10,1,1,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600016-2019-08-10,1,0,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600049-2019-08-10,0,1,0,0,1,0,0,20190810,20190831
ATB:Timetable:1600029-2019-08-10,1,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600039-2019-08-10,1,0,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600079-2019-08-10,1,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600036-2019-08-10,1,1,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600046-2019-08-10,1,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600089-2019-08-10,0,0,0,0,0,0,1,20190810,20190930
ATB:Timetable:1600009-2019-08-10,1,0,0,0,0,0,0,20190810,20191217
ATB:Timetable:1600066-2019-08-10,0,0,1,0,0,0,0,20190810,20190926
ATB:Timetable:1600019-2019-08-10,0,1,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600086-2019-08-10,1,1,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600076-2019-08-10,0,0,0,0,1,0,0,20190810,20190928
ATB:Timetable:1600067-2019-08-10,0,0,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600087-2019-08-10,1,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600058-2019-08-10,0,1,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600068-2019-08-10,0,0,0,0,0,1,0,20190810,20190929
ATB:Timetable:1600088-2019-08-10,1,1,1,1,1,0,0,20190810,20191001
ATB:Timetable:1600085-2019-08-10,1,0,0,1,1,0,0,20190810,20190831
ATB:Timetable:1600072-2019-08-10,1,0,1,1,1,0,0,20190810,20190831
ATB:Timetable:1600032-2019-08-10,1,0,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600082-2019-08-10,0,0,0,0,0,0,1,20190810,20191216
ATB:Timetable:1600015-2019-08-10,0,0,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600048-2019-08-10,1,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600005-2019-08-10,1,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600038-2019-08-10,1,0,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600092-2019-08-10,0,1,1,0,0,0,0,20190810,20190926
ATB:Timetable:1600018-2019-08-10,0,1,0,0,0,0,0,20190810,20191218
ATB:Timetable:1600028-2019-08-10,1,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600008-2019-08-10,0,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600025-2019-08-10,1,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600035-2019-08-10,0,0,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600045-2019-08-10,0,0,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600065-2019-08-10,1,1,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600006-2019-08-10,0,0,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600003-2019-08-10,0,0,0,0,0,0,1,20190810,20191216
ATB:Timetable:1600013-2019-08-10,1,1,0,0,0,0,0,20190810,20191218
ATB:Timetable:1600091-2019-08-10,1,1,1,1,0,0,0,20190810,20191001
ATB:Timetable:1600023-2019-08-10,0,1,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600043-2019-08-10,1,0,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600033-2019-08-10,0,1,0,0,0,0,0,20190810,20191218
ATB:Timetable:1600010-2019-08-10,0,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600073-2019-08-10,0,0,0,1,1,0,0,20190810,20190928
ATB:Timetable:1600030-2019-08-10,1,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600020-2019-08-10,1,0,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600063-2019-08-10,0,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600070-2019-08-10,0,0,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600090-2019-08-10,0,1,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600004-2019-08-10,0,0,0,0,1,0,0,20190810,20191221
ATB:Timetable:1600040-2019-08-10,1,0,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600001-2019-08-10,1,1,1,1,1,0,0,20190810,20191221
ATB:Timetable:1600080-2019-08-10,0,0,0,1,1,0,0,20190810,20191221
ATB:Timetable:1600031-2019-08-10,1,1,1,0,0,0,0,20190810,20191219
ATB:Timetable:1600011-2019-08-10,0,0,0,0,1,1,0,20190810,20191221
ATB:Timetable:1600060-2019-08-10,0,0,0,1,0,0,0,20190810,20191220
ATB:Timetable:1600021-2019-08-10,0,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600071-2019-08-10,0,0,0,0,0,1,0,20190810,20191215
ATB:Timetable:1600002-2019-08-10,0,0,0,0,0,1,0,20190810,20191215
ATB:Timetable:1600081-2019-08-10,0,0,0,0,0,0,1,20190810,20191216
ATB:Timetable:1600041-2019-08-10,0,1,1,1,0,0,0,20190810,20191220
ATB:Timetable:1600012-2019-08-10,0,0,1,0,1,0,0,20190810,20191221
ATB:Timetable:1600022-2019-08-10,1,0,0,0,0,0,0,20190810,20191217
ATB:Timetable:1600061-2019-08-10,0,0,0,0,0,0,1,20190810,20190916
