service_id,date,exception_type
ATB:Timetable:1600086-2019-08-10,20190920,2
ATB:Timetable:1600086-2019-08-10,20190923,2
ATB:Timetable:1600086-2019-08-10,20190924,2
ATB:Timetable:1600086-2019-08-10,20190925,2
ATB:Timetable:1600086-2019-08-10,20190927,2
ATB:Timetable:1600086-2019-08-10,20190930,2
ATB:Timetable:1600067-2019-08-10,20190815,2
ATB:Timetable:1600067-2019-08-10,20190822,2
ATB:Timetable:1600067-2019-08-10,20190829,2
ATB:Timetable:1600067-2019-08-10,20190905,2
ATB:Timetable:1600067-2019-08-10,20190912,2
ATB:Timetable:1600067-2019-08-10,20190919,2
ATB:Timetable:1600067-2019-08-10,20190926,2
ATB:Timetable:1600087-2019-08-10,20190812,2
ATB:Timetable:1600087-2019-08-10,20190813,2
ATB:Timetable:1600087-2019-08-10,20190814,2
ATB:Timetable:1600087-2019-08-10,20190815,2
ATB:Timetable:1600087-2019-08-10,20190819,2
ATB:Timetable:1600087-2019-08-10,20190820,2
ATB:Timetable:1600087-2019-08-10,20190821,2
ATB:Timetable:1600087-2019-08-10,20190822,2
ATB:Timetable:1600087-2019-08-10,20190826,2
ATB:Timetable:1600087-2019-08-10,20190827,2
ATB:Timetable:1600087-2019-08-10,20190828,2
ATB:Timetable:1600087-2019-08-10,20190829,2
ATB:Timetable:1600087-2019-08-10,20190902,2
ATB:Timetable:1600087-2019-08-10,20190903,2
ATB:Timetable:1600087-2019-08-10,20190904,2
ATB:Timetable:1600087-2019-08-10,20190905,2
ATB:Timetable:1600087-2019-08-10,20190909,2
ATB:Timetable:1600087-2019-08-10,20190910,2
ATB:Timetable:1600087-2019-08-10,20190911,2
ATB:Timetable:1600087-2019-08-10,20190912,2
ATB:Timetable:1600087-2019-08-10,20190916,2
ATB:Timetable:1600087-2019-08-10,20190917,2
ATB:Timetable:1600087-2019-08-10,20190918,2
ATB:Timetable:1600087-2019-08-10,20190919,2
ATB:Timetable:1600087-2019-08-10,20190923,2
ATB:Timetable:1600087-2019-08-10,20190924,2
ATB:Timetable:1600087-2019-08-10,20190925,2
ATB:Timetable:1600087-2019-08-10,20190926,2
ATB:Timetable:1600087-2019-08-10,20190930,2
ATB:Timetable:1600077-2019-08-10,20190813,1
ATB:Timetable:1600077-2019-08-10,20190820,1
ATB:Timetable:1600077-2019-08-10,20190827,1
ATB:Timetable:1600058-2019-08-10,20190813,2
ATB:Timetable:1600058-2019-08-10,20191008,2
ATB:Timetable:1600058-2019-08-10,20191011,2
ATB:Timetable:1600058-2019-08-10,20191129,2
ATB:Timetable:1600078-2019-08-10,20190816,1
ATB:Timetable:1600078-2019-08-10,20190823,1
ATB:Timetable:1600078-2019-08-10,20190830,1
ATB:Timetable:1600059-2019-08-10,20191007,1
ATB:Timetable:1600059-2019-08-10,20191008,1
ATB:Timetable:1600059-2019-08-10,20191009,1
ATB:Timetable:1600059-2019-08-10,20191010,1
ATB:Timetable:1600059-2019-08-10,20191011,1
ATB:Timetable:1600052-2019-08-10,20190817,1
ATB:Timetable:1600052-2019-08-10,20190824,1
ATB:Timetable:1600052-2019-08-10,20190831,1
ATB:Timetable:1600018-2019-08-03,20190806,1
